# book	author	aliases
Pride and Prejudice	Jane Austen
Moby-Dick	Herman Melville
War and Peace	Leo Tolstoy	Tolstoy
Crime and Punishment	Fyodor Dostoevsky	Dostoevsky|Dostoyevsky
The Great Gatsby	F. Scott Fitzgerald	Fitzgerald
To Kill a Mockingbird	Harper Lee
Nineteen Eighty-Four	George Orwell	Orwell
Brave New World	Aldous Huxley
The Catcher in the Rye	J. D. Salinger	Salinger
The Grapes of Wrath	John Steinbeck
One Hundred Years of Solitude	Gabriel García Márquez	Garcia Marquez|Márquez
Don Quixote	Miguel de Cervantes	Cervantes
Jane Eyre	Charlotte Brontë	Charlotte Bronte
Wuthering Heights	Emily Brontë	Emily Bronte
Great Expectations	Charles Dickens	Dickens
The Adventures of Huckleberry Finn	Mark Twain	Twain
The Picture of Dorian Gray	Oscar Wilde	Wilde
Frankenstein	Mary Shelley	Shelley
Dracula	Bram Stoker	Stoker
The Old Man and the Sea	Ernest Hemingway	Hemingway
Lolita	Vladimir Nabokov	Nabokov
The Trial	Franz Kafka	Kafka
Anna Karenina	Leo Tolstoy	Tolstoy
Madame Bovary	Gustave Flaubert	Flaubert
The Count of Monte Cristo	Alexandre Dumas	Dumas
Les Misérables	Victor Hugo	Hugo
The Hobbit	J. R. R. Tolkien	Tolkien
The Lord of the Rings	J. R. R. Tolkien	Tolkien
A Tale of Two Cities	Charles Dickens	Dickens
Slaughterhouse-Five	Kurt Vonnegut	Vonnegut
Catch-22	Joseph Heller	Heller
Beloved	Toni Morrison	Morrison
Invisible Man	Ralph Ellison	Ellison
The Sun Also Rises	Ernest Hemingway	Hemingway
Of Mice and Men	John Steinbeck	Steinbeck
Fahrenheit 451	Ray Bradbury	Bradbury
The Stranger	Albert Camus	Camus
Heart of Darkness	Joseph Conrad	Conrad
Middlemarch	George Eliot	Eliot
Ulysses	James Joyce	Joyce
The Brothers Karamazov	Fyodor Dostoevsky	Dostoevsky|Dostoyevsky
Gulliver's Travels	Jonathan Swift	Swift
Robinson Crusoe	Daniel Defoe	Defoe
The Scarlet Letter	Nathaniel Hawthorne	Hawthorne
Treasure Island	Robert Louis Stevenson	Stevenson
The Call of the Wild	Jack London	London
