# state	capital	aliases
California	Sacramento
Texas	Austin
New York	Albany
Florida	Tallahassee
Illinois	Springfield
Washington	Olympia
Oregon	Salem
Nevada	Carson City
Arizona	Phoenix
Colorado	Denver
Georgia	Atlanta
Michigan	Lansing
Ohio	Columbus
Pennsylvania	Harrisburg
Massachusetts	Boston
Virginia	Richmond
North Carolina	Raleigh
South Carolina	Columbia
Tennessee	Nashville
Kentucky	Frankfort
Missouri	Jefferson City
Wisconsin	Madison
Minnesota	Saint Paul	St. Paul|St Paul
Iowa	Des Moines
Kansas	Topeka
Nebraska	Lincoln
Oklahoma	Oklahoma City
Louisiana	Baton Rouge
Alabama	Montgomery
Mississippi	Jackson
Arkansas	Little Rock
Utah	Salt Lake City
New Mexico	Santa Fe
Montana	Helena
Idaho	Boise
Wyoming	Cheyenne
North Dakota	Bismarck
South Dakota	Pierre
Maine	Augusta
Vermont	Montpelier
New Hampshire	Concord
Connecticut	Hartford
Rhode Island	Providence
Delaware	Dover
Maryland	Annapolis
West Virginia	Charleston
Indiana	Indianapolis
Alaska	Juneau
Hawaii	Honolulu
New Jersey	Trenton
